zip,primary_city,state,lon,lat
544,Holtsville,NY,-72.637,40.922
601,Adjuntas,PR,-66.723,18.165
602,Aguada,PR,-67.181,18.393
603,Aguadilla,PR,-67.146,18.456
604,Aguadilla,PR,-67.136,18.494
605,Aguadilla,PR,-67.141,18.465
606,Maricao,PR,-66.944,18.173
610,Anasco,PR,-67.14,18.289
611,Angeles,PR,-66.802,18.28
612,Arecibo,PR,-66.698,18.451
613,Arecibo,PR,-66.733,18.458
614,Arecibo,PR,-66.675,18.43
616,Bajadero,PR,-66.641,18.445
617,Barceloneta,PR,-66.544,18.447
622,Boqueron,PR,-67.187,17.999
623,Cabo Rojo,PR,-67.15,18.062
624,Penuelas,PR,-66.726,18.024
627,Camuy,PR,-66.855,18.478
631,Castaner,PR,-66.865,18.269
636,Rosario,PR,-67.04,18.113
637,Sabana Grande,PR,-66.935,18.087
638,Ciales,PR,-66.472,18.336
641,Utuado,PR,-66.699,18.25
646,Dorado,PR,-66.282,18.436
647,Ensenada,PR,-66.94,17.97
650,Florida,PR,-66.562,18.36
652,Garrochales,PR,-66.603,18.457
653,Guanica,PR,-66.899,17.972
656,Guayanilla,PR,-66.787,18.023
659,Hatillo,PR,-66.809,18.481
660,Hormigueros,PR,-67.135,18.145
662,Isabela,PR,-67.028,18.48
664,Jayuya,PR,-66.598,18.218
667,Lajas,PR,-67.056,18.015
669,Lares,PR,-66.882,18.296
670,Las Marias,PR,-66.991,18.252
674,Manati,PR,-66.49,18.446
676,Moca,PR,-67.081,18.384
677,Rincon,PR,-67.253,18.336
678,Quebradillas,PR,-66.934,18.453
680,Mayaguez,PR,-67.508,18.219
681,Mayaguez,PR,-67.508,18.219
682,Mayaguez,PR,-67.508,18.219
683,San German,PR,-67.04,18.113
685,San Sebastian,PR,-66.972,18.324
687,Morovis,PR,-66.415,18.317
688,Sabana Hoyos,PR,-66.675,18.43
690,San Antonio,PR,-67.14,18.476
692,Vega Alta,PR,-66.339,18.436
693,Vega Baja,PR,-66.398,18.443
694,Vega Baja,PR,-66.398,18.443
698,Yauco,PR,-66.861,18.061
703,Aguas Buenas,PR,-66.128,18.25
704,Aguirre,PR,-66.139,17.992
705,Aibonito,PR,-66.269,18.128
707,Maunabo,PR,-65.899,18.007
714,Arroyo,PR,-66.041,17.968
715,Mercedita,PR,-66.564,18.012
716,Ponce,PR,-66.607,18.002
717,Ponce,PR,-66.607,18.002
718,Naguabo,PR,-65.778,18.221
719,Naranjito,PR,-66.23,18.298
720,Orocovis,PR,-66.394,18.227
721,Palmer,PR,-65.778,18.364
723,Patillas,PR,-66.011,18.01
725,Caguas,PR,-66.058,18.213
726,Caguas,PR,-66.058,18.213
727,Caguas,PR,18.23,-66.03
728,Ponce,PR,-66.607,18.002
729,Canovanas,PR,-65.884,18.333
730,Ponce,PR,-66.607,18.002
731,Ponce,PR,-66.626,18.038
732,Ponce,PR,-66.614,18.022
733,Ponce,PR,-66.619,18.019
734,Ponce,PR,-66.644,17.999
735,Ceiba,PR,-65.595,18.265
736,Cayey,PR,-66.139,18.103
737,Cayey,PR,-66.139,18.103
738,Fajardo,PR,-65.611,18.359
739,Cidra,PR,-66.17,18.181
740,Puerto Real,PR,-65.639,18.332
741,Punta Santiago,PR,-65.753,18.162
742,Roosevelt Roads,PR,-65.595,18.265
744,Rio Blanco,PR,-65.743,18.206
745,Rio Grande,PR,-65.817,18.367
751,Salinas,PR,-66.265,17.999
754,San Lorenzo,PR,-65.962,18.188
757,Santa Isabel,PR,-66.396,17.991
765,Vieques,PR,-65.46,18.123
766,Villalba,PR,-66.497,18.121
767,Yabucoa,PR,-65.887,18.046
769,Coamo,PR,-66.351,18.096
771,Las Piedras,PR,-65.872,18.197
772,Loiza,PR,-65.899,18.447
773,Luquillo,PR,-65.708,18.366
775,Culebra,PR,-65.296,18.324
777,Juncos,PR,-65.902,18.206
778,Gurabo,PR,-65.975,18.259
780,Coto Laurel,PR,-66.607,18.002
782,Comerio,PR,-66.22,18.225
783,Corozal,PR,-66.331,18.304
784,Guayama,PR,-66.139,17.992
785,Guayama,PR,-66.796,18.019
786,La Plata,PR,-66.269,18.128
791,Humacao,PR,-65.788,18.138
792,Humacao,PR,-65.788,18.138
794,Barranquitas,PR,-66.307,18.201
795,Juana Diaz,PR,-66.493,17.997
801,St Thomas,VI,-64.964,18.322
802,St Thomas,VI,-64.964,18.322
803,St Thomas,VI,-64.964,18.322
804,St Thomas,VI,-64.964,18.322
805,St Thomas,VI,-64.964,18.322
820,Christiansted,VI,-64.735,17.734
821,Christiansted,VI,-64.735,17.734
822,Christiansted,VI,-64.735,17.734
823,Christiansted,VI,-64.735,17.734
824,Christiansted,VI,-64.735,17.734
830,St John,VI,-64.741,18.328
831,St John,VI,-64.741,18.328
840,Frederiksted,VI,-64.735,17.734
841,Frederiksted,VI,-64.735,17.734
850,Kingshill,VI,-64.735,17.734
851,Kingshill,VI,-64.735,17.734
901,San Juan,PR,-66.104,18.466
902,San Juan,PR,-66.061,18.41
906,San Juan,PR,-66.061,18.41
907,San Juan,PR,-66.077,18.452
908,San Juan,PR,-66.061,18.41
909,San Juan,PR,-66.068,18.443
910,San Juan,PR,-66.061,18.41
911,San Juan,PR,-66.058,18.451
912,San Juan,PR,-66.06,18.444
913,San Juan,PR,-66.043,18.451
914,San Juan,PR,-66.061,18.41
915,San Juan,PR,-66.048,18.438
916,San Juan,PR,-66.061,18.41
917,San Juan,PR,-66.051,18.422
918,San Juan,PR,-66.062,18.419
919,San Juan,PR,-66.061,18.41
920,San Juan,PR,-66.092,18.407
921,San Juan,PR,-66.066,18.39
922,San Juan,PR,-66.061,18.41
923,San Juan,PR,-66.037,18.411
924,San Juan,PR,-66.011,18.396
925,San Juan,PR,-66.05,18.401
926,San Juan,PR,-66.063,18.369
927,San Juan,PR,-66.072,18.385
928,San Juan,PR,-66.061,18.41
929,San Juan,PR,-66.061,18.41
930,San Juan,PR,-66.061,18.41
931,San Juan,PR,-66.061,18.41
933,San Juan,PR,-66.061,18.41
934,Fort Buchanan,PR,-66.166,18.345
935,San Juan,PR,-66.061,18.41
936,San Juan,PR,-66.061,18.41
937,San Juan,PR,-66.061,18.41
939,San Juan,PR,-66.061,18.41
940,San Juan,PR,-66.061,18.41
949,Toa Baja,PR,-66.2,18.432
950,Toa Baja,PR,-66.197,18.458
951,Toa Baja,PR,-66.197,18.458
952,Sabana Seca,PR,-66.197,18.458
953,Toa Alta,PR,-66.257,18.357
954,Toa Alta,PR,-66.258,18.359
955,San Juan,PR,-66.061,18.41
956,Bayamon,PR,-66.174,18.327
957,Bayamon,PR,-66.184,18.367
958,Bayamon,PR,-66.166,18.345
959,Bayamon,PR,-66.159,18.387
960,Bayamon,PR,-66.166,18.345
961,Bayamon,PR,-66.169,18.413
962,Catano,PR,-66.14,18.438
963,Catano,PR,-66.139,18.443
965,Guaynabo,PR,-66.115,18.429
966,Guaynabo,PR,-66.115,18.397
968,Guaynabo,PR,-66.061,18.41
969,Guaynabo,PR,-66.114,18.362
970,Guaynabo,PR,-66.112,18.359
971,Guaynabo,PR,-66.114,18.309
975,San Juan,PR,-66.061,18.41
976,Trujillo Alto,PR,-65.989,18.338
977,Trujillo Alto,PR,-65.99,18.337
978,Saint Just,PR,-65.99,18.337
979,Carolina,PR,-66.061,18.41
981,Carolina,PR,-66.061,18.41
982,Carolina,PR,-66.061,18.41
983,Carolina,PR,-65.978,18.413
984,Carolina,PR,-65.972,18.393
985,Carolina,PR,-65.939,18.346
986,Carolina,PR,-65.972,18.393
987,Carolina,PR,-65.96,18.373
988,Carolina,PR,-65.972,18.393
1001,Agawam,MA,-72.789,42.141
1002,Amherst,MA,-72.465,42.367
1003,Amherst,MA,-72.636,42.37
1004,Amherst,MA,-72.513,42.384
1005,Barre,MA,-72.139,42.329
1007,Belchertown,MA,-72.402,42.28
1008,Blandford,MA,-72.958,42.178
1009,Bondsville,MA,-72.34,42.206
1010,Brimfield,MA,-72.204,42.109
1011,Chester,MA,-72.953,42.294
1012,Chesterfield,MA,-72.826,42.392
1013,Chicopee,MA,-72.667,42.161
1014,Chicopee,MA,-72.605,42.171
1020,Chicopee,MA,-72.563,42.177
1021,Chicopee,MA,-72.605,42.171
1022,Chicopee,MA,-72.554,42.193
1026,Cummington,MA,-72.91,42.429
1027,Easthampton,MA,-72.769,42.368
1028,East Longmeadow,MA,-72.499,42.062
1029,East Otis,MA,-73.052,42.191
1030,Feeding Hills,MA,-72.798,42.189
1031,Gilbertville,MA,-72.206,42.353
1032,Goshen,MA,-72.819,42.444
1033,Granby,MA,-72.504,42.262
1034,Granville,MA,-72.952,42.113
1035,Hadley,MA,-72.577,42.357
1036,Hampden,MA,-72.418,42.068
1037,Hardwick,MA,-72.225,42.348
1038,Hatfield,MA,-72.643,42.387
1039,Haydenville,MA,-72.682,42.356
1040,Holyoke,MA,-72.642,42.198
1041,Holyoke,MA,-72.605,42.171
1050,Huntington,MA,-72.904,42.313
1053,Leeds,MA,-72.704,42.354
1054,Leverett,MA,-72.468,42.475
1056,Ludlow,MA,-72.627,42.173
1057,Monson,MA,-72.282,42.095
1059,North Amherst,MA,-72.636,42.37
1060,Northampton,MA,-72.769,42.415
1061,Northampton,MA,-72.636,42.37
1062,Florence,MA,-72.845,42.329
1063,Northampton,MA,-72.64,42.318
1066,North Hatfield,MA,-72.634,42.407
1068,Oakham,MA,-72.059,42.346
1069,Palmer,MA,-72.315,42.176
1070,Plainfield,MA,-72.958,42.449
1071,Russell,MA,-72.865,42.177
1072,Shutesbury,MA,-72.44,42.472
1073,Southampton,MA,-72.728,42.23
1074,South Barre,MA,-72.149,42.376
1075,South Hadley,MA,-72.582,42.25
1077,Southwick,MA,-72.541,42.067
1079,Thorndike,MA,-72.33,42.193
1080,Three Rivers,MA,-72.518,42.18
1081,Wales,MA,-72.214,42.062
1082,Ware,MA,-72.549,42.377
1083,Warren,MA,-72.199,42.204
1084,West Chesterfield,MA,-72.871,42.39
1085,Westfield,MA,-72.502,42.149
1086,Westfield,MA,-72.848,42.173
1088,West Hatfield,MA,-72.647,42.391
1089,West Springfield,MA,-72.645,42.126
1090,West Springfield,MA,-72.605,42.171
1092,West Warren,MA,-72.229,42.203
1093,Whately,MA,-72.653,42.443
1094,Wheelwright,MA,-72.141,42.358
1095,Wilbraham,MA,-72.49,42.126
1096,Williamsburg,MA,-72.822,42.413
1097,Woronoco,MA,-72.846,42.162
1098,Worthington,MA,-72.896,42.405
1101,Springfield,MA,-72.605,42.171
1102,Springfield,MA,-72.605,42.171
1103,Springfield,MA,-72.591,42.103
1104,Springfield,MA,-72.568,42.129
1105,Springfield,MA,-72.578,42.1
1106,Longmeadow,MA,-72.568,42.049
1107,Springfield,MA,-72.587,42.126
1108,Springfield,MA,-72.558,42.081
1109,Springfield,MA,-72.549,42.119
1111,Springfield,MA,-72.605,42.171
1115,Springfield,MA,-72.592,42.103
1116,Longmeadow,MA,-72.605,42.171
1118,Springfield,MA,-72.523,42.094
1119,Springfield,MA,-72.527,42.125
1128,Springfield,MA,-72.487,42.095
1129,Springfield,MA,-72.489,42.124
1133,Springfield,MA,-72.605,42.171
1138,Springfield,MA,-72.605,42.171
1139,Springfield,MA,-72.605,42.171
1144,Springfield,MA,-72.592,42.102
1151,Indian Orchard,MA,-72.513,42.151
1152,Springfield,MA,-72.605,42.171
1195,Springfield,MA,42.1,-72.58
1199,Springfield,MA,-72.605,42.12
1201,Pittsfield,MA,-73.248,42.479
1202,Pittsfield,MA,-73.228,42.393
1203,Pittsfield,MA,-73.228,42.393
1220,Adams,MA,-73.172,42.386
1222,Ashley Falls,MA,-73.319,42.186
1223,Becket,MA,-73.103,42.342
1224,Berkshire,MA,-73.228,42.393
1225,Cheshire,MA,-73.127,42.482
1226,Dalton,MA,-73.089,42.47
1227,Dalton,MA,-73.093,42.516
1229,Glendale,MA,-73.344,42.279
1230,Great Barrington,MA,-73.267,42.299
1235,Hinsdale,MA,-73.222,42.292
1236,Housatonic,MA,-73.359,42.291
1237,Lanesboro,MA,-73.235,42.488
1238,Lee,MA,-73.267,42.37
1240,Lenox,MA,-73.22,42.459
1242,Lenox Dale,MA,-73.251,42.339
1243,Middlefield,MA,-73.01,42.356
1244,Mill River,MA,-73.254,42.123
1245,Monterey,MA,-73.206,42.187
1247,North Adams,MA,-73.186,42.427
1252,North Egremont,MA,-73.446,42.199
1253,Otis,MA,-73.09,42.213
1254,Richmond,MA,-73.238,42.233
1255,Sandisfield,MA,-73.149,42.149
1256,Savoy,MA,-73.129,42.367
1257,Sheffield,MA,-73.268,42.315
1258,South Egremont,MA,-73.361,42.128
1259,Southfield,MA,-73.279,42.199
1260,South Lee,MA,-73.313,42.287
1262,Stockbridge,MA,-73.33,42.305
1263,Stockbridge,MA,-73.228,42.393
1264,Tyringham,MA,-73.198,42.22
1266,West Stockbridge,MA,-73.265,42.36
1267,Williamstown,MA,-73.258,42.642
1270,Windsor,MA,-73.116,42.444
1301,Greenfield,MA,-72.624,42.601
1302,Greenfield,MA,-72.624,42.522
1330,Ashfield,MA,-72.738,42.562
1331,Athol,MA,-72.184,42.547
1337,Bernardston,MA,-72.643,42.627
1338,Buckland,MA,-72.769,42.574
1339,Charlemont,MA,-72.666,42.594
1340,Colrain,MA,-72.823,42.682
1341,Conway,MA,-72.71,42.591
1342,Deerfield,MA,-72.608,42.547
1343,Drury,MA,-72.986,42.643
1344,Erving,MA,-72.554,42.627
1346,Heath,MA,-72.789,42.618
1347,Lake Pleasant,MA,-72.518,42.557
1349,Millers Falls,MA,-72.706,42.621
1350,Monroe Bridge,MA,-72.976,42.721
1351,Montague,MA,-72.487,42.548
1354,Gill,MA,-72.624,42.522
1355,New Salem,MA,-72.534,42.519
1360,Northfield,MA,-72.528,42.614
1364,Orange,MA,-72.557,42.578
1366,Petersham,MA,-72.183,42.46
1367,Rowe,MA,-72.716,42.683
1368,Royalston,MA,-72.196,42.672
1370,Shelburne Falls,MA,-72.759,42.589
1373,South Deerfield,MA,-72.682,42.465
1375,Sunderland,MA,-72.701,42.565
1376,Turners Falls,MA,-72.718,42.655
1378,Warwick,MA,-72.34,42.667
1379,Wendell,MA,-72.437,42.581
1380,Wendell Depot,MA,-72.393,42.553
1420,Fitchburg,MA,-71.817,42.584
1430,Ashburnham,MA,-71.921,42.655
1431,Ashby,MA,-71.459,42.446
1432,Ayer,MA,-71.459,42.446
1434,Devens,MA,42.53,-71.61
1436,Baldwinville,MA,-72.084,42.601
1438,East Templeton,MA,-72.029,42.552
1440,Gardner,MA,-72.026,42.583
1441,Westminster,MA,-71.897,42.365
1450,Groton,MA,-71.459,42.446
1451,Harvard,MA,-71.576,42.5
1452,Hubbardston,MA,-72.012,42.484
1453,Leominster,MA,-71.838,42.471
1460,Littleton,MA,-71.459,42.446
1462,Lunenburg,MA,-71.752,42.583
1463,Pepperell,MA,-71.459,42.446
1464,Shirley,MA,-71.459,42.446
1467,Still River,MA,-71.613,42.487
1468,Templeton,MA,-72.072,42.555
1469,Townsend,MA,-71.459,42.446
1470,Groton,MA,-71.459,42.446
1471,Groton,MA,-71.459,42.446
1472,West Groton,MA,-71.459,42.446
1473,Westminster,MA,-71.913,42.549
1474,West Townsend,MA,-71.459,42.446
1475,Winchendon,MA,-72.048,42.662
1477,Winchendon Springs,MA,-71.897,42.365
1501,Auburn,MA,-71.947,42.185
